time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,0.286477890224,5.30740374217,10.316513549,0.438235351027,0.891109390055,0.0,4.26795072027,5.36835244258,5.33976462064,-10.8148098967,10.8177551749,0.0,-0.153280357832,900.050171571,899.924185562,-0.189589362752
0.12000000000000001,0.528043643297,5.62205995238,10.6415839716,5.38545105435,1.22024314893,0.0,4.31554145807,4.99403921112,5.47376971778,-19.2737960901,19.2764169138,0.0,-0.12398348774,899.893267226,899.863239473,-0.0503012401617
0.18,0.77614189325,5.90949668388,10.9478531267,2.24892062814,0.617137134236,0.0,4.45680306108,4.90233139976,4.63973322375,-24.350239418,24.3467530947,0.0,-0.212249338549,899.68260883,899.92574519,-0.0115610466112
0.23999999999999996,1.01248267976,6.21576182866,11.2007980171,1.8385658156,3.2453111332,0.0,3.42890272266,4.88926750479,4.09672259333,-26.8770407283,26.8720057718,0.0,-0.185579152389,899.76235066,899.93834929,-0.357135595452
0.3,1.23611690068,6.47571255795,11.4339435865,0.422496074816,5.1093170385,0.0,4.30437706395,4.0364957861,3.5532680501,-28.0061181887,28.0050798442,0.0,-0.0245027949114,899.830571164,899.771007361,-0.395994077572
0.36000000000000004,1.52283550581,6.71674308448,11.6528185679,5.05493943486,0.558943201849,0.0,4.97271754005,3.74238103548,3.88260138342,-28.4899068389,28.4880763644,0.0,0.0436264197753,899.83942085,899.912888697,-0.226733670819
0.4200000000000001,1.79168593992,6.91756224726,11.8733793731,3.34782168726,2.28020092546,0.0,3.84441694274,3.23703617087,3.42446792745,-28.6900557957,28.6897444576,0.0,0.195664084083,899.859783096,899.836237846,-0.21563954608
0.48000000000000015,2.00184006497,7.1067829319,12.0932172999,1.62566049684,4.00473133718,0.0,3.4961579651,2.77752452214,3.87851291003,-28.7750107197,28.771788004,0.0,0.189683223809,899.795834701,899.959433336,-0.145923873743
0.5400000000000001,2.24862281904,7.25746072395,12.31047708,6.18174341234,5.73200682269,0.0,4.75365838335,2.51081974758,3.46399433174,-28.8084232516,28.8044405141,0.0,0.213351516673,899.738421145,899.879081224,-0.169662860886
0.6000000000000002,2.54234923295,7.39291175222,12.5325284788,4.45293170985,1.17743674856,0.0,4.69572232739,1.78555360814,3.75233548805,-28.8227524526,28.817731355,0.0,0.151376983699,899.732308239,899.911474068,-0.01422194709
0.6600000000000003,2.78551226601,7.4940888784,12.7430372356,2.72347697974,2.90664096701,0.0,3.46250408052,1.73593828545,3.52399214355,-28.8266098534,28.8233681947,0.0,0.139943232906,899.742009986,899.804546136,-0.0205839548352
0.7200000000000003,2.99679345534,7.57463627604,12.9661562115,0.993845452779,4.63603184252,0.0,3.90797294967,0.881236024329,3.62869639363,-28.8280874547,28.822897331,0.0,0.109818078436,899.594738063,899.799014857,0.0523291022388
0.7800000000000004,3.26906795971,7.62809524409,13.1755125563,5.54737420946,0.0822073868588,0.0,4.9969317758,0.875985651729,3.62793990978,-28.8268974,28.8223517662,0.0,0.0384631587575,899.576088231,899.703980708,0.00456992225937
0.8400000000000004,3.55292615903,7.65199560958,13.3953814883,3.81776566706,1.81160589648,0.0,4.20738906284,0.0425330459342,3.42985185197,-28.8266759739,28.8247121671,0.0,-0.030197901549,899.712835049,899.71809417,-0.0782901245392
0.9000000000000005,3.7718442197,7.65726713995,13.603147418,2.08813953541,3.54111383201,0.0,3.34459193973,-0.0620621406615,3.71629066056,-28.8277543796,28.8257585539,0.0,-0.0109657133925,899.716972313,899.779956966,0.0641157586906
0.9600000000000005,3.99853803618,7.62649456848,13.8192386585,0.358479541598,5.27071855305,0.0,4.40103254261,-0.716656333181,3.33891752541,-28.8275343155,28.8281918027,0.0,0.0924839639498,899.823008993,899.744910673,0.00354918477382
1.0200000000000005,4.2870277344,7.58157068788,14.0289451428,4.91204885516,0.717215580001,0.0,4.90182714186,-1.06365509366,3.71983033239,-28.8260419793,28.8278069262,0.0,0.0872119925212,899.749842783,899.670721379,-0.0506563578242
1.0800000000000005,4.54681393287,7.4975858424,14.2373158886,3.18247006532,2.44692461718,0.0,3.67276538165,-1.4435987415,3.25867490171,-28.8267261184,28.8294854999,0.0,0.0725087106474,899.847007918,899.739313714,-0.0967231820289
1.1400000000000006,4.75260510124,7.40079877846,14.4483096519,1.45283901061,4.17666714679,0.0,3.52827719353,-2.0440061293,3.64653949082,-28.827885954,28.8283634292,0.0,-0.0543309722744,899.751216846,899.78583047,0.0341088129109
1.2000000000000006,5.00250807618,7.26720125946,14.6514750959,6.00637075375,5.9063524952,0.0,4.78231338694,-2.19929155394,3.3115054977,-28.8270711893,28.8276714261,0.0,-0.0734302760694,899.738951621,899.717549666,0.0588725166157
1.2600000000000007,5.29093357503,7.11547766375,14.8627228226,4.27674363252,1.35289974229,0.0,4.48806434486,-3.00204016813,3.48356985937,-28.8271905156,28.8306301336,0.0,-0.170277300341,899.910521806,899.741545358,0.271260366744
1.3200000000000007,5.52109406254,6.93390640465,15.059735208,2.5471113928,3.08280658126,0.0,3.30342972467,-2.99481158458,3.38207410915,-28.8272243587,28.8334588867,0.0,-0.149570113312,899.995977503,899.740746533,0.197377700648
1.3800000000000008,5.72916999662,6.72801226293,15.2688092412,0.817476835241,4.81286867323,0.0,3.92406885169,-3.83470755738,3.30816394944,-28.8272702259,28.8357040251,0.0,-0.136210754519,900.053382491,899.742439422,-0.0257409193718
